Date,KW
2020-04-05 06:00:00.000Z,202.4
2020-04-05 10:21:00.000Z,194.9
2020-04-05 22:06:00.000Z,177.5
2020-04-06 06:31:00.000Z,172.2
2020-04-06 21:47:00.000Z,153.8
2020-04-07 00:59:00.000Z,148.3
2020-04-07 03:25:00.000Z,145.9
2020-04-07 15:23:00.000Z,134.3
2020-04-07 22:18:00.000Z,125.3
2020-04-08 12:14:00.000Z,114.9
2020-04-09 05:27:00.000Z,101.0
2020-04-09 09:33:00.000Z,98.0
2020-04-09 17:01:00.000Z,91.4
2020-04-10 08:58:00.000Z,80.0
2020-04-10 13:05:00.000Z,73.4
2020-04-10 14:10:00.000Z,72.3
2020-04-10 21:43:00.000Z,63.0
2020-04-11 07:19:00.000Z,58.6
2020-04-11 07:20:00.000Z,261.6
2020-04-11 15:38:00.000Z,251.2
2020-04-11 21:12:00.000Z,242.7
2020-04-12 18:57:00.000Z,212.7
2020-04-13 05:22:00.000Z,206.2
2020-04-13 19:17:00.000Z,191.6
2020-04-14 06:28:00.000Z,185.3
2020-04-14 06:54:00.000Z,184.7
2020-04-14 16:01:00.000Z,174.6
2020-04-14 21:54:00.000Z,167.2
2020-04-15 06:36:00.000Z,163.3
2020-04-15 08:34:00.000Z,160.8
2020-04-15 10:40:00.000Z,158.6
2020-04-16 06:47:00.000Z,143.0
2020-04-16 11:38:00.000Z,135.6
2020-04-16 19:31:00.000Z,128.0
2020-04-17 06:41:00.000Z,119.0
2020-04-17 09:12:00.000Z,117.3
2020-04-17 21:24:00.000Z,103.4
2020-04-18 05:42:00.000Z,100.3
2020-04-18 08:57:00.000Z,94.5
2020-04-18 13:05:00.000Z,88.0
2020-04-18 13:06:00.000Z,290.9
2020-04-19 09:33:00.000Z,270.2
2020-04-20 06:33:00.000Z,250.8
2020-04-20 22:38:00.000Z,229.8
2020-04-21 02:21:00.000Z,226.0
2020-04-21 06:51:00.000Z,224.9
2020-04-22 06:20:00.000Z,200.9
2020-04-23 05:36:00.000Z,180.4
2020-04-23 22:36:00.000Z,161.7
2020-04-24 05:28:00.000Z,158.6
2020-04-25 05:23:00.000Z,139.3
2020-04-25 11:51:00.000Z,130.7
2020-04-25 11:54:00.000Z,333.7
2020-04-25 21:39:00.000Z,324.5
2020-04-26 16:21:00.000Z,312.0
2020-04-27 13:18:00.000Z,293.4
2020-04-28 06:31:00.000Z,279.4
2020-04-29 06:12:00.000Z,261.4
2020-04-30 06:12:00.000Z,243.1
2020-05-01 06:16:00.000Z,223.3
2020-05-02 07:09:00.000Z,200.1
2020-05-03 06:22:00.000Z,178.1
2020-05-04 14:31:00.000Z,149.1
2020-05-04 20:24:00.000Z,141.1
2020-05-05 06:28:00.000Z,132.6
2020-05-05 15:53:00.000Z,125.5
2020-05-06 05:41:00.000Z,110.9
2020-05-07 06:33:00.000Z,87.2
2020-05-08 06:27:00.000Z,61.6
2020-05-08 15:56:00.000Z,55.6
2020-05-09 06:47:00.000Z,44.4
2020-05-09 06:48:00.000Z,247.4
2020-05-10 06:15:00.000Z,207.4
2020-05-10 20:04:00.000Z,190.9
2020-05-11 05:18:00.000Z,183.9
2020-05-12 00:18:00.000Z,163.2
2020-05-12 05:25:00.000Z,160.2
2020-05-13 10:39:00.000Z,135.5
2020-05-14 05:40:00.000Z,117.9
2020-05-15 06:07:00.000Z,93.1
2020-05-15 07:41:00.000Z,90.9
2020-05-16 07:07:00.000Z,72.3
2020-05-17 05:31:00.000Z,48.5
2020-05-17 13:29:00.000Z,42.1
2020-05-17 13:31:00.000Z,245.0
2020-05-18 05:16:00.000Z,231.6
2020-05-19 04:42:00.000Z,211.2
2020-05-19 21:33:00.000Z,194.0
2020-05-20 06:03:00.000Z,189.4
2020-05-21 04:35:00.000Z,167.9
2020-05-21 17:40:00.000Z,154.4
2020-05-22 06:04:00.000Z,144.4
2020-05-23 05:58:00.000Z,117.9
2020-05-23 06:02:00.000Z,320.8
2020-05-24 05:20:00.000Z,299.2
2020-05-24 22:28:00.000Z,281.3
2020-05-25 05:18:00.000Z,278.0
2020-05-25 16:19:00.000Z,270.0
2020-05-26 06:24:00.000Z,258.3
2020-05-26 18:06:00.000Z,244.3
2020-05-27 07:52:00.000Z,225.9
2020-05-27 15:30:00.000Z,216.9
2020-05-28 05:58:00.000Z,205.8
2020-05-29 09:33:00.000Z,177.7
2020-05-30 08:24:00.000Z,165.4
2020-05-30 11:00:00.000Z,157.6
2020-05-30 20:21:00.000Z,144.6
2020-05-30 20:44:00.000Z,347.3
